ref,score,bit_family,equation_family,bit_ops,equation_ops,solver,training,inference,safety,chars,path
ulyanovantonamaranta/nemotron-huikang-tinker27-repro,44,0,0,5,0,0,6,0,12,6074,artifacts\v527_kaggle_code_audit\pulled_code\ulyanovantonamaranta__nemotron-huikang-tinker27-repro
markjcooper/thk-v27-fork-2026-05-14,43,0,0,0,0,0,20,0,3,3775,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-v27-fork-2026-05-14
wukeneth/cct-qwen35-4b-test,43,0,0,6,3,0,1,0,5,19623,artifacts\v527_kaggle_code_audit\pulled_code\wukeneth__cct-qwen35-4b-test
tbmdemi/latentdim-pcc-s5,42,0,0,9,0,0,2,0,2,4127,artifacts\v527_kaggle_code_audit\pulled_code\tbmdemi__latentdim-pcc-s5
uyentran10/model-rnn-hybrid-sa-mean,42,0,0,5,3,0,5,0,0,15943,artifacts\v527_kaggle_code_audit\pulled_code\uyentran10__model-rnn-hybrid-sa-mean
avikdas567/retrieval-pattern-reasoning-pipeline-for-nemotron,41,0,0,6,0,3,1,0,0,4528,artifacts\v527_kaggle_code_audit\pulled_code\avikdas567__retrieval-pattern-reasoning-pipeline-for-nemotron
dnglethnh/latentdim-xval-nl6,41,0,0,10,0,0,0,0,1,3549,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__latentdim-xval-nl6
leehoangquan006/latentdim-xval-nl4,41,0,0,10,0,0,0,0,1,3549,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__latentdim-xval-nl4
privatepiecerec/nemotron-reasoning-task-family-tour,41,6,1,4,1,0,0,0,0,7789,artifacts\v527_kaggle_code_audit\pulled_code\privatepiecerec__nemotron-reasoning-task-family-tour
thunvng/latentdim-xval-nl8,41,0,0,10,0,0,0,0,1,3549,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__latentdim-xval-nl8
nguyenduongtrong/fp8-bench-v2,40,0,0,10,0,0,0,0,0,4938,artifacts\v527_kaggle_code_audit\pulled_code\nguyenduongtrong__fp8-bench-v2
nguyenduongtrong/fp8-bench-v3,40,0,0,10,0,0,0,0,0,4974,artifacts\v527_kaggle_code_audit\pulled_code\nguyenduongtrong__fp8-bench-v3
nguyenduongtrong/fp8-bench-v4,40,0,0,10,0,0,0,0,0,4961,artifacts\v527_kaggle_code_audit\pulled_code\nguyenduongtrong__fp8-bench-v4
nguyenduongtrong/fp8-bench-vanilla,40,0,0,10,0,0,0,0,0,4942,artifacts\v527_kaggle_code_audit\pulled_code\nguyenduongtrong__fp8-bench-vanilla
dloc19/ecapa-tdnn-dialect-vivoice34,39,0,0,9,0,0,1,0,1,8907,artifacts\v527_kaggle_code_audit\pulled_code\dloc19__ecapa-tdnn-dialect-vivoice34
syu21125/nemotron-v15-huikang-085-fixed-v5,39,0,0,5,0,0,8,1,2,3528,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-v15-huikang-085-fixed-v5
franekwodarczyk/nvidia-nemotron-model-reasoning-by-me-0-6-score,38,2,0,2,0,0,10,2,2,21355,artifacts\v527_kaggle_code_audit\pulled_code\franekwodarczyk__nvidia-nemotron-model-reasoning-by-me-0-6-score
ramireddy2748/final-arathi,38,6,0,0,0,0,6,0,8,16091,artifacts\v527_kaggle_code_audit\pulled_code\ramireddy2748__final-arathi
ayomide2000/finding-nemo,37,0,0,3,0,0,6,0,13,13510,artifacts\v527_kaggle_code_audit\pulled_code\ayomide2000__finding-nemo
jek1wantaufik/nvidia-nemotron-model-reasoning-challenge,37,0,0,7,0,0,4,0,1,6214,artifacts\v527_kaggle_code_audit\pulled_code\jek1wantaufik__nvidia-nemotron-model-reasoning-challenge
ritikroshan4857/nvidia-nemotron-model-reasoning-challenge,37,0,0,7,0,0,4,0,1,6214,artifacts\v527_kaggle_code_audit\pulled_code\ritikroshan4857__nvidia-nemotron-model-reasoning-challenge
esaaak/nemotron-3-nano-30b-starter-lora-fine-tuning,36,0,0,4,0,0,8,4,0,10490,artifacts\v527_kaggle_code_audit\pulled_code\esaaak__nemotron-3-nano-30b-starter-lora-fine-tuning
khaquc123/linh-l-n-1,36,0,0,9,0,0,0,0,0,10860,artifacts\v527_kaggle_code_audit\pulled_code\khaquc123__linh-l-n-1
khaquc123/test123,36,0,0,9,0,0,0,0,0,10860,artifacts\v527_kaggle_code_audit\pulled_code\khaquc123__test123
maithin123/linh-l-n-3,36,0,0,9,0,0,0,0,0,10860,artifacts\v527_kaggle_code_audit\pulled_code\maithin123__linh-l-n-3
rauffauzanrambe/nvidia-nemotron-trained-meachine-learning,36,0,0,4,0,0,10,0,0,4156,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-nemotron-trained-meachine-learning
shrikantmalagi/nvidia-nemotron-model-reasoning-challenge,36,3,0,4,0,0,5,0,1,11847,artifacts\v527_kaggle_code_audit\pulled_code\shrikantmalagi__nvidia-nemotron-model-reasoning-challenge
vodung020905/3930-sft-summarization-models,36,0,0,5,0,0,7,0,2,8099,artifacts\v527_kaggle_code_audit\pulled_code\vodung020905__3930-sft-summarization-models
haradibots/nvidia-nemotron,35,0,0,7,0,0,3,0,1,5279,artifacts\v527_kaggle_code_audit\pulled_code\haradibots__nvidia-nemotron
chaitanyajamble/nvidia-nmrc-4,34,0,0,5,1,1,2,0,1,11759,artifacts\v527_kaggle_code_audit\pulled_code\chaitanyajamble__nvidia-nmrc-4
kanakasarat1/lora-adapter-fusion-and-rank-compression-pipeline,34,0,0,4,3,0,2,0,2,6715,artifacts\v527_kaggle_code_audit\pulled_code\kanakasarat1__lora-adapter-fusion-and-rank-compression-pipeline
rauffauzanrambe/lora-adapter-fusion-and-rank-compression-pipeline,34,0,0,4,3,0,2,0,2,6715,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__lora-adapter-fusion-and-rank-compression-pipeline
david01szu/nemotron-soft-balanced-sampling-sft,33,0,0,3,0,0,9,2,1,5917,artifacts\v527_kaggle_code_audit\pulled_code\david01szu__nemotron-soft-balanced-sampling-sft
tomwwwww/20260317,32,0,0,2,0,3,3,1,2,3804,artifacts\v527_kaggle_code_audit\pulled_code\tomwwwww__20260317
rdn2k00/cot-preprocessing,31,0,0,5,0,2,0,1,0,6349,artifacts\v527_kaggle_code_audit\pulled_code\rdn2k00__cot-preprocessing
sluitel/dsoc-baseline-submission,31,2,0,0,0,5,0,0,0,5395,artifacts\v527_kaggle_code_audit\pulled_code\sluitel__dsoc-baseline-submission
syu21125/nemotron-dgxchen-085-submit,31,0,0,3,0,0,8,1,2,3994,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-dgxchen-085-submit
syu21125/nemotron-kienngx-2400-submit,31,0,0,3,0,0,8,1,2,3996,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-kienngx-2400-submit
syu21125/nemotron-kienngx-tinker-submit,31,0,0,3,0,0,8,1,2,4000,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-kienngx-tinker-submit
syu21125/nemotron-v39-huikang-reasoning-sft-submit,31,0,0,3,0,0,8,1,2,4002,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-v39-huikang-reasoning-sft-submit
omnillos/mysolution,30,0,0,3,0,0,0,0,18,26463,artifacts\v527_kaggle_code_audit\pulled_code\omnillos__mysolution
mohamedamr992/easiest-way-to-run-nemotron3,29,0,0,6,0,0,0,0,5,8556,artifacts\v527_kaggle_code_audit\pulled_code\mohamedamr992__easiest-way-to-run-nemotron3
ringustheimp/tinker-w-svd-rank-16,29,0,0,2,3,0,3,0,3,3692,artifacts\v527_kaggle_code_audit\pulled_code\ringustheimp__tinker-w-svd-rank-16
khanshakir14/competition-nvidia,28,2,0,1,3,0,3,0,0,13676,artifacts\v527_kaggle_code_audit\pulled_code\khanshakir14__competition-nvidia
alexxxsem/nemotron-simple-offline-working-demo,27,0,0,3,0,0,7,0,1,4578,artifacts\v527_kaggle_code_audit\pulled_code\alexxxsem__nemotron-simple-offline-working-demo
sanjaysuthraye96/exploratory-data-analysis-nvidia-nemotron,27,3,2,3,0,0,0,0,0,6522,artifacts\v527_kaggle_code_audit\pulled_code\sanjaysuthraye96__exploratory-data-analysis-nvidia-nemotron
syu21125/nemotron-v15-huikang-085-submission,27,0,0,6,0,0,1,0,1,3076,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-v15-huikang-085-submission
suryamilenial/fork-of-fork-of-fork-of-nvidia-nemotron-mod-4291c4,26,0,0,5,0,0,3,0,0,5649,artifacts\v527_kaggle_code_audit\pulled_code\suryamilenial__fork-of-fork-of-fork-of-nvidia-nemotron-mod-4291c4
amlear/tinker-adapter-solved-some-internet-issues,25,0,0,2,3,0,2,0,1,3762,artifacts\v527_kaggle_code_audit\pulled_code\amlear__tinker-adapter-solved-some-internet-issues
asalhi/tinker-adapter-to-ready-to-submit-adapter,25,0,0,2,3,0,2,0,1,3484,artifacts\v527_kaggle_code_audit\pulled_code\asalhi__tinker-adapter-to-ready-to-submit-adapter
hammadfarooq470/think-twice-self-correcting-reasoning,25,0,0,2,3,0,2,0,1,3691,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__think-twice-self-correcting-reasoning
kaziaishikuzzaman/end-to-end-finetuning-for-nemotron,25,0,0,2,3,0,2,0,1,4724,artifacts\v527_kaggle_code_audit\pulled_code\kaziaishikuzzaman__end-to-end-finetuning-for-nemotron
lfreedom2750/scrape-html,25,0,0,5,1,0,0,0,1,6400,artifacts\v527_kaggle_code_audit\pulled_code\lfreedom2750__scrape-html
llccqq624/nvidia-nemotron-tinker-adapter-notebook,25,0,0,2,3,0,2,0,1,3762,artifacts\v527_kaggle_code_audit\pulled_code\llccqq624__nvidia-nemotron-tinker-adapter-notebook
michaelkong537/tinker-adapter-solved-some-internet-issues,25,0,0,2,3,0,2,0,1,3762,artifacts\v527_kaggle_code_audit\pulled_code\michaelkong537__tinker-adapter-solved-some-internet-issues
bloodmoonwq/fork-of-nemotron-tinker-adapter-repro-c9ee4-15cc8c,24,0,0,5,0,0,2,0,0,3238,artifacts\v527_kaggle_code_audit\pulled_code\bloodmoonwq__fork-of-nemotron-tinker-adapter-repro-c9ee4-15cc8c
nrapendraiec/nvidia-nemotron,24,0,0,2,0,0,7,0,2,7367,artifacts\v527_kaggle_code_audit\pulled_code\nrapendraiec__nvidia-nemotron
suryamilenial/fork-of-nvidia-nemotron-model-notebook,24,0,0,5,0,0,2,0,0,5280,artifacts\v527_kaggle_code_audit\pulled_code\suryamilenial__fork-of-nvidia-nemotron-model-notebook
suryamilenial/nvidia-nemotron-model-notebook,24,0,0,5,0,0,2,0,0,5280,artifacts\v527_kaggle_code_audit\pulled_code\suryamilenial__nvidia-nemotron-model-notebook
syu21125/nemotron-path-d-tinker-conversion,23,0,0,1,3,0,2,2,1,3960,artifacts\v527_kaggle_code_audit\pulled_code\syu21125__nemotron-path-d-tinker-conversion
chaitanyajamble/notebook6f0ca37f68,22,0,0,3,0,0,3,2,2,6300,artifacts\v527_kaggle_code_audit\pulled_code\chaitanyajamble__notebook6f0ca37f68
mpwolke/alice-in-nvidia-wonderland,22,0,0,5,0,0,0,2,0,6137,artifacts\v527_kaggle_code_audit\pulled_code\mpwolke__alice-in-nvidia-wonderland
rdn2k00/nemotron-qlora,22,0,0,1,0,0,9,0,0,2387,artifacts\v527_kaggle_code_audit\pulled_code\rdn2k00__nemotron-qlora
dhruvb2028/tinker-adapter-ready-to-submit-adapter,21,0,0,1,3,0,2,0,1,3893,artifacts\v527_kaggle_code_audit\pulled_code\dhruvb2028__tinker-adapter-ready-to-submit-adapter
kunrittyhe/nvidia-nemotron-submission-demo,21,0,0,2,0,0,6,0,1,5543,artifacts\v527_kaggle_code_audit\pulled_code\kunrittyhe__nvidia-nemotron-submission-demo
manderson240/nemotron-lora-v41-training-all-data,21,0,0,2,0,0,6,0,1,4070,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-lora-v41-training-all-data
mebbbbbbius/nvidia-nemotron-submission-demo,21,1,0,4,0,0,1,0,0,15173,artifacts\v527_kaggle_code_audit\pulled_code\mebbbbbbius__nvidia-nemotron-submission-demo
nidhish1010/nvidia-nemotron-submission-demo-c37b25,21,1,0,1,0,0,6,0,2,5760,artifacts\v527_kaggle_code_audit\pulled_code\nidhish1010__nvidia-nemotron-submission-demo-c37b25
raunakdey07/nemotron-tinker-adapter,21,0,0,1,3,0,2,0,1,3515,artifacts\v527_kaggle_code_audit\pulled_code\raunakdey07__nemotron-tinker-adapter
rlaajgus/nemotron-0430-1445,21,0,0,0,0,0,10,0,1,6540,artifacts\v527_kaggle_code_audit\pulled_code\rlaajgus__nemotron-0430-1445
baohg153/ductri-s-model,20,0,0,4,0,0,1,0,2,8239,artifacts\v527_kaggle_code_audit\pulled_code\baohg153__ductri-s-model
dnglethnh/data-dyn-d4-positional,20,0,0,5,0,0,0,0,0,3748,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d4-positional
leehoangquan006/data-dyn-d4-recurrence,20,0,0,5,0,0,0,0,0,3748,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d4-recurrence
mohithramesh/nemotron-training,20,0,0,2,0,0,5,0,2,7978,artifacts\v527_kaggle_code_audit\pulled_code\mohithramesh__nemotron-training
thunvng/data-dyn-d4-flat,20,0,0,5,0,0,0,0,0,3742,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d4-flat
krupalpatel07/advanced-nemotron-model-2,18,0,0,3,0,0,2,1,1,4790,artifacts\v527_kaggle_code_audit\pulled_code\krupalpatel07__advanced-nemotron-model-2
muhammadshoaibaltaf/nvidia-nemotron-model-simple-version-1,18,0,0,2,0,0,4,0,2,5263,artifacts\v527_kaggle_code_audit\pulled_code\muhammadshoaibaltaf__nvidia-nemotron-model-simple-version-1
wkingedewd/new1forcompetion,18,0,0,3,0,0,3,0,0,3444,artifacts\v527_kaggle_code_audit\pulled_code\wkingedewd__new1forcompetion
edyvision/nvidia-nemotron-submission-demo-w-blackwell-patch,17,0,0,1,0,0,6,0,1,7093,artifacts\v527_kaggle_code_audit\pulled_code\edyvision__nvidia-nemotron-submission-demo-w-blackwell-patch
yashashavdk/nemotron-training-dl-class-cmpe258-assignment,17,0,0,0,0,0,6,0,5,4512,artifacts\v527_kaggle_code_audit\pulled_code\yashashavdk__nemotron-training-dl-class-cmpe258-assignment
dnglethnh/data-dyn-d5-rec-iter,16,0,0,4,0,0,0,0,0,4114,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d5-rec-iter
dnglethnh/data-dyn-d6-seed1,16,0,0,4,0,0,0,0,0,3482,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d6-seed1
dnglethnh/data-dyn-d7-d1024-nl4,16,0,0,4,0,0,0,0,0,3616,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d7-d1024-nl4
dnglethnh/data-dyn-d8-d512-nl3,16,0,0,4,0,0,0,0,0,3672,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d8-d512-nl3
dnglethnh/data-dyn-d9-iter,16,0,0,4,0,0,0,0,0,3575,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d9-iter
hammadfarooq470/nvidia-nemotron-model-reasoning-0-68,16,0,0,3,0,0,2,0,0,3638,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nvidia-nemotron-model-reasoning-0-68
jek1wantaufik/nvidia-nemotron-model-reasoning-0-68,16,0,0,3,0,0,2,0,0,3700,artifacts\v527_kaggle_code_audit\pulled_code\jek1wantaufik__nvidia-nemotron-model-reasoning-0-68
kanakasarat1/nemotron-tinker-adapter-repro,16,0,0,4,0,0,0,0,0,1536,artifacts\v527_kaggle_code_audit\pulled_code\kanakasarat1__nemotron-tinker-adapter-repro
leehoangquan006/data-dyn-d5-rec-plain,16,0,0,4,0,0,0,0,0,4115,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d5-rec-plain
leehoangquan006/data-dyn-d6-seed0,16,0,0,4,0,0,0,0,0,3482,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d6-seed0
leehoangquan006/data-dyn-d7-d256-nl4,16,0,0,4,0,0,0,0,0,3615,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d7-d256-nl4
leehoangquan006/data-dyn-d8-d512-nl2,16,0,0,4,0,0,0,0,0,3672,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d8-d512-nl2
leehoangquan006/data-dyn-d9-plain,16,0,0,4,0,0,0,0,0,3576,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d9-plain
thunvng/data-dyn-d5-flat-iter,16,0,0,4,0,0,0,0,0,4115,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d5-flat-iter
thunvng/data-dyn-d6-seed2,16,0,0,4,0,0,0,0,0,3482,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d6-seed2
thunvng/data-dyn-d7-d512-nl8,16,0,0,4,0,0,0,0,0,3615,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d7-d512-nl8
thunvng/data-dyn-d8-d512-nl6,16,0,0,4,0,0,0,0,0,3672,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d8-d512-nl6
thunvng/data-dyn-d9-iter-noise,16,0,0,4,0,0,0,0,0,3581,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d9-iter-noise
toney02/nvidia-nemotron-model-notebook,16,0,0,4,0,0,0,0,0,4475,artifacts\v527_kaggle_code_audit\pulled_code\toney02__nvidia-nemotron-model-notebook
ulyanovantonamaranta/nemotron-9500-adapter-repro,16,0,0,4,0,0,0,0,0,1836,artifacts\v527_kaggle_code_audit\pulled_code\ulyanovantonamaranta__nemotron-9500-adapter-repro
ulyanovantonamaranta/nemotron-kien-variant-packager,16,0,0,4,0,0,0,0,0,2001,artifacts\v527_kaggle_code_audit\pulled_code\ulyanovantonamaranta__nemotron-kien-variant-packager
ulyanovantonamaranta/nemotron-tinker-adapter-repro,16,0,0,4,0,0,0,0,0,1522,artifacts\v527_kaggle_code_audit\pulled_code\ulyanovantonamaranta__nemotron-tinker-adapter-repro
vtsywm/smollm2-teacher-logits-v1,16,0,0,3,0,0,0,0,4,10529,artifacts\v527_kaggle_code_audit\pulled_code\vtsywm__smollm2-teacher-logits-v1
david01szu/simple-nemotron-baseline,15,1,0,3,0,0,0,0,0,1283,artifacts\v527_kaggle_code_audit\pulled_code\david01szu__simple-nemotron-baseline
haiduonghuynhle/lightgcl-yelp,15,0,0,3,0,0,0,0,3,4016,artifacts\v527_kaggle_code_audit\pulled_code\haiduonghuynhle__lightgcl-yelp
meoconbngu/fork-of-vivoice34-compare-to-vimd,15,0,0,3,0,0,1,0,1,9442,artifacts\v527_kaggle_code_audit\pulled_code\meoconbngu__fork-of-vivoice34-compare-to-vimd
rauffauzanrambe/nvidia-transformer-cnn-gr-smart-reinforcement,15,0,0,3,0,0,0,2,1,18189,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-transformer-cnn-gr-smart-reinforcement
sonspeed/my-dpo,15,0,0,3,0,0,1,0,1,5934,artifacts\v527_kaggle_code_audit\pulled_code\sonspeed__my-dpo
tranvannha/fork-of-vivoice34-compare-to-vimd,15,0,0,3,0,0,1,0,1,8898,artifacts\v527_kaggle_code_audit\pulled_code\tranvannha__fork-of-vivoice34-compare-to-vimd
tranvannha/vivoice34-compare-to-vimd,15,0,0,3,0,0,1,0,1,8707,artifacts\v527_kaggle_code_audit\pulled_code\tranvannha__vivoice34-compare-to-vimd
ramyagopalaswamy/nvidia-nemotron-submission-demo,13,0,0,1,0,0,4,0,1,6491,artifacts\v527_kaggle_code_audit\pulled_code\ramyagopalaswamy__nvidia-nemotron-submission-demo
rishabhshukla111/notebookneotronreasoningmodel,13,0,0,0,0,0,5,2,1,6069,artifacts\v527_kaggle_code_audit\pulled_code\rishabhshukla111__notebookneotronreasoningmodel
udaken10/just-see-and-think,13,0,0,1,0,0,4,1,0,5274,artifacts\v527_kaggle_code_audit\pulled_code\udaken10__just-see-and-think
citerne/from-local-dev-rtx-6000-kaggle-cli-guide,12,0,0,3,0,0,0,0,0,13019,artifacts\v527_kaggle_code_audit\pulled_code\citerne__from-local-dev-rtx-6000-kaggle-cli-guide
haiduonghuynhle/lightgcl-steam17m,12,0,0,3,0,0,0,0,0,3829,artifacts\v527_kaggle_code_audit\pulled_code\haiduonghuynhle__lightgcl-steam17m
linhquangtran/yolo26train-v1,12,0,0,0,3,0,0,0,0,2630,artifacts\v527_kaggle_code_audit\pulled_code\linhquangtran__yolo26train-v1
mohamedamr992/how-to-load-nemotronh-for-causal-lm,12,0,0,3,0,0,0,0,0,1167,artifacts\v527_kaggle_code_audit\pulled_code\mohamedamr992__how-to-load-nemotronh-for-causal-lm
rauffauzanrambe/nvidia-advanced-ai-training-analytics-system,12,0,0,3,0,0,0,0,0,11911,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-advanced-ai-training-analytics-system
annabee12/gen-vanilla-l16-1b-s3-sampled,11,0,0,1,0,0,0,6,1,4059,artifacts\v527_kaggle_code_audit\pulled_code\annabee12__gen-vanilla-l16-1b-s3-sampled
dnglethnh/gen-pcc-reason-d2048-s5-sampled,11,0,0,1,0,0,0,6,1,4059,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__gen-pcc-reason-d2048-s5-sampled
haiduonghuynhle/lightgcl-amazon-books,11,0,0,2,0,0,0,0,3,4077,artifacts\v527_kaggle_code_audit\pulled_code\haiduonghuynhle__lightgcl-amazon-books
haiduonghuynhle/lightgcl-gowalla,11,0,0,2,0,0,0,0,3,4008,artifacts\v527_kaggle_code_audit\pulled_code\haiduonghuynhle__lightgcl-gowalla
haiduonghuynhle/lightgcl-movielens,11,0,0,2,0,0,0,0,3,4016,artifacts\v527_kaggle_code_audit\pulled_code\haiduonghuynhle__lightgcl-movielens
leehoangquan006/gen-vanilla-d2048-s5-sampled,11,0,0,1,0,0,0,6,1,4059,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__gen-vanilla-d2048-s5-sampled
rohansan1/nemotron-reasoning-lora-solution-writeup,11,0,0,1,0,0,1,1,4,8877,artifacts\v527_kaggle_code_audit\pulled_code\rohansan1__nemotron-reasoning-lora-solution-writeup
thunvng/gen-xloop-d2048-n4-s5-sampled,11,0,0,1,0,0,0,6,1,4059,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__gen-xloop-d2048-n4-s5-sampled
alexqzx/problems-in-regex-extraction-from-boxed,10,0,2,1,0,0,0,0,0,2489,artifacts\v527_kaggle_code_audit\pulled_code\alexqzx__problems-in-regex-extraction-from-boxed
bbobwayne/nemotron-tier-1-lora-baseline,10,0,0,1,0,0,0,2,4,3689,artifacts\v527_kaggle_code_audit\pulled_code\bbobwayne__nemotron-tier-1-lora-baseline
cryptdragon/nemotron-30b-deterministic-solvers-cot-fine-tu,10,0,0,0,0,0,5,0,0,2287,artifacts\v527_kaggle_code_audit\pulled_code\cryptdragon__nemotron-30b-deterministic-solvers-cot-fine-tu
dhruvb2028/nemotron-comp,10,0,0,1,0,0,3,0,0,6632,artifacts\v527_kaggle_code_audit\pulled_code\dhruvb2028__nemotron-comp
evgendvorkin/nemotron-3-nano-lora-adapter-submission,10,2,0,0,0,0,1,0,2,6948,artifacts\v527_kaggle_code_audit\pulled_code\evgendvorkin__nemotron-3-nano-lora-adapter-submission
jeanfranciscodasilva/nvidia-nemotron-submission-demo,10,0,0,0,0,0,5,0,0,1443,artifacts\v527_kaggle_code_audit\pulled_code\jeanfranciscodasilva__nvidia-nemotron-submission-demo
kanakasarat1/nvidia-nemotron-submission-demo,10,0,0,0,0,0,5,0,0,1589,artifacts\v527_kaggle_code_audit\pulled_code\kanakasarat1__nvidia-nemotron-submission-demo
m1ndthegap/nemotron-lora-script-submission,10,0,0,0,0,0,5,0,0,2052,artifacts\v527_kaggle_code_audit\pulled_code\m1ndthegap__nemotron-lora-script-submission
parthgala07/nvidia-nemotron-submission-training-1,10,0,0,0,0,0,5,0,0,1498,artifacts\v527_kaggle_code_audit\pulled_code\parthgala07__nvidia-nemotron-submission-training-1
ryanholbrook/nvidia-nemotron-submission-demo,10,0,0,0,0,0,5,0,0,1589,artifacts\v527_kaggle_code_audit\pulled_code\ryanholbrook__nvidia-nemotron-submission-demo
thangkth/notebookc775762247,10,0,0,2,0,0,0,2,0,1275,artifacts\v527_kaggle_code_audit\pulled_code\thangkth__notebookc775762247
annabee12/stage2-battery-vanilla-3b-synth,9,0,0,2,0,0,0,0,1,3741,artifacts\v527_kaggle_code_audit\pulled_code\annabee12__stage2-battery-vanilla-3b-synth
chongnh/stage2-battery-pcc-reason-seed1,9,0,0,2,0,0,0,0,1,3737,artifacts\v527_kaggle_code_audit\pulled_code\chongnh__stage2-battery-pcc-reason-seed1
chongnh/stage2-battery-vanilla-3b-baseline,9,0,0,2,0,0,0,0,1,3741,artifacts\v527_kaggle_code_audit\pulled_code\chongnh__stage2-battery-vanilla-3b-baseline
dloc19/ecapa-tdnn-dialect-classification,9,0,0,2,0,0,0,0,1,9699,artifacts\v527_kaggle_code_audit\pulled_code\dloc19__ecapa-tdnn-dialect-classification
hiulnho/stage2-battery-pcc-tight-v2,9,0,0,2,0,0,0,0,1,3737,artifacts\v527_kaggle_code_audit\pulled_code\hiulnho__stage2-battery-pcc-tight-v2
hkhnhduy/notebook785f9cad48,9,0,0,2,0,0,0,1,0,1359,artifacts\v527_kaggle_code_audit\pulled_code\hkhnhduy__notebook785f9cad48
ishitabahamnia/nvedia,9,0,0,1,0,0,0,0,5,18541,artifacts\v527_kaggle_code_audit\pulled_code\ishitabahamnia__nvedia
leehoangquan006/stage2-battery-vanilla-iter-s2-v2,9,0,0,2,0,0,0,0,1,3741,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__stage2-battery-vanilla-iter-s2-v2
leehoangquan006/stage2-battery-vanilla-s3,9,0,0,2,0,0,0,0,1,3741,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__stage2-battery-vanilla-s3
phmthanhlm24022379/stage2-battery-pcc-loose-seed1,9,0,0,2,0,0,0,0,1,3737,artifacts\v527_kaggle_code_audit\pulled_code\phmthanhlm24022379__stage2-battery-pcc-loose-seed1
phmthanhlm24022379/stage2-battery-vanilla-iter-s1-v2,9,0,0,2,0,0,0,0,1,3741,artifacts\v527_kaggle_code_audit\pulled_code\phmthanhlm24022379__stage2-battery-vanilla-iter-s1-v2
rahulchauhan016/nemotron-lora-reasoning-pipeline,9,0,0,0,0,0,4,0,1,6080,artifacts\v527_kaggle_code_audit\pulled_code\rahulchauhan016__nemotron-lora-reasoning-pipeline
tuananhtran37/stage2-battery-hybrid-d1280-v2,9,0,0,2,0,0,0,0,1,3747,artifacts\v527_kaggle_code_audit\pulled_code\tuananhtran37__stage2-battery-hybrid-d1280-v2
apachikoff/nvidia-constraint-ai-comp,8,0,0,1,0,0,2,0,0,3304,artifacts\v527_kaggle_code_audit\pulled_code\apachikoff__nvidia-constraint-ai-comp
david01szu/nemotron-gpu-debug,8,0,0,2,0,0,0,0,0,1686,artifacts\v527_kaggle_code_audit\pulled_code\david01szu__nemotron-gpu-debug
jiazhuang/nemotron-distillation-from-llm,8,0,0,0,2,0,0,0,0,1551,artifacts\v527_kaggle_code_audit\pulled_code\jiazhuang__nemotron-distillation-from-llm
