ref,title,author,lastRunTime,totalVotes,kernel_type,seen_sort,seen_page
dnglethnh/data-dyn-d7-d1024-nl4,data-dyn-d7-d1024_nl4,Dũng Lê Thành,2026-05-16 03:42:59.060000,0,notebook,voteCount,4
leehoangquan006/data-dyn-d7-d256-nl4,data-dyn-d7-d256_nl4,Lê Hoàng Quân,2026-05-16 03:42:56.697000,0,notebook,voteCount,4
thunvng/data-dyn-d6-seed2,data-dyn-d6-seed2,Thuận Vương,2026-05-16 03:26:01.597000,0,notebook,voteCount,4
dnglethnh/data-dyn-d6-seed1,data-dyn-d6-seed1,Dũng Lê Thành,2026-05-16 03:25:58.507000,0,notebook,voteCount,4
leehoangquan006/data-dyn-d6-seed0,data-dyn-d6-seed0,Lê Hoàng Quân,2026-05-16 03:25:56.697000,0,notebook,voteCount,4
krishnapanjiyar123/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,krishna panjiyar,2026-05-16 06:02:57.660000,0,notebook,voteCount,4
thunvng/data-dyn-d5-flat-iter,data-dyn-d5-flat_iter,Thuận Vương,2026-05-16 03:06:40.317000,0,notebook,voteCount,4
dnglethnh/data-dyn-d5-rec-iter,data-dyn-d5-rec_iter,Dũng Lê Thành,2026-05-16 03:06:37.617000,0,notebook,voteCount,4
leehoangquan006/data-dyn-d5-rec-plain,data-dyn-d5-rec_plain,Lê Hoàng Quân,2026-05-16 03:06:35.227000,0,notebook,voteCount,4
thunvng/data-dyn-d4-flat,data-dyn-d4-flat,Thuận Vương,2026-05-16 02:47:09.630000,0,notebook,voteCount,4
dnglethnh/data-dyn-d4-positional,data-dyn-d4-positional,Dũng Lê Thành,2026-05-16 02:47:07.560000,0,notebook,voteCount,4
leehoangquan006/data-dyn-d4-recurrence,data-dyn-d4-recurrence,Lê Hoàng Quân,2026-05-16 02:47:03.593000,0,notebook,voteCount,4
thunvng/data-dyn-d3-lookup,data-dyn-d3-lookup,Thuận Vương,2026-05-16 02:25:48.493000,0,notebook,voteCount,4
dnglethnh/data-dyn-d3-positional,data-dyn-d3-positional,Dũng Lê Thành,2026-05-16 02:25:46.007000,0,notebook,voteCount,4
leehoangquan006/data-dyn-d3-recurrence,data-dyn-d3-recurrence,Lê Hoàng Quân,2026-05-16 02:25:41.810000,0,notebook,voteCount,4
thunvng/lle-xloop-d2048-n4-50b-wsd-s4,lle-xloop-d2048-n4-50b-wsd-s4,Thuận Vương,2026-05-16 02:18:28.703000,0,notebook,voteCount,4
leehoangquan006/lle-vanilla-d2048-50b-wsd-s4,lle-vanilla-d2048-50b-wsd-s4,Lê Hoàng Quân,2026-05-16 02:18:14.983000,0,notebook,voteCount,4
dnglethnh/lle-pcc-reason-d2048-50b-wsd-s4,lle-pcc-reason-d2048-50b-wsd-s4,Dũng Lê Thành,2026-05-16 02:21:47.227000,0,notebook,voteCount,4
thunvng/data-dyn-d2-f0p75,data-dyn-d2-f0p75,Thuận Vương,2026-05-16 02:04:12.320000,0,notebook,voteCount,4
dnglethnh/data-dyn-d2-f0p5,data-dyn-d2-f0p5,Dũng Lê Thành,2026-05-16 02:04:09.343000,0,notebook,voteCount,4
leehoangquan006/data-dyn-d2-f0p25,data-dyn-d2-f0p25,Lê Hoàng Quân,2026-05-16 02:04:06.747000,0,notebook,voteCount,4
thunvng/data-dyn-d1-prose,data-dyn-d1-prose,Thuận Vương,2026-05-16 01:43:06.417000,0,notebook,voteCount,4
dnglethnh/data-dyn-d1-steps,data-dyn-d1-steps,Dũng Lê Thành,2026-05-16 01:43:04.113000,0,notebook,voteCount,4
leehoangquan006/data-dyn-d1-flat,data-dyn-d1-flat,Lê Hoàng Quân,2026-05-16 01:43:01.127000,0,notebook,voteCount,4
dfbjdsbds/pretrain-vanilla-l16-1b-50b-wsd-s3,pretrain-vanilla-l16-1b-50b-wsd-s3,Space_cowboy,2026-05-16 01:12:46.663000,0,notebook,voteCount,4
dhruvb2028/nemotron-comp,Nemotron Comp,Dhruv Bansal,2026-05-16 06:30:42.527000,0,notebook,voteCount,4
chongnh/pretrain-vanilla-d2048-50b-wsd-s5,pretrain-vanilla-d2048-50b-wsd-s5,Đức Hoàng Đình,2026-05-15 17:34:53.770000,0,notebook,voteCount,4
chongnh/pretrain-xloop-d2048-n4-50b-wsd-s5,pretrain-xloop-d2048-n4-50b-wsd-s5,Đức Hoàng Đình,2026-05-15 17:29:43.353000,0,notebook,voteCount,4
tbmdemi/pretrain-pcc-reason-d2048-50b-wsd-s5,pretrain-pcc-reason-d2048-50b-wsd-s5,Trịnh Bình Minh,2026-05-15 17:29:38.183000,0,notebook,voteCount,4
leehoangquan006/pretrain-vanilla-l16-1b-50b-wsd-s2,pretrain-vanilla-l16-1b-50b-wsd-s2,Lê Hoàng Quân,2026-05-15 13:25:30.657000,0,notebook,voteCount,4
vtsywm/smollm2-teacher-logits-v1,SmolLM2 Teacher Logits v1,vtsywm,2026-05-15 08:52:40.230000,0,notebook,voteCount,4
dungnguyenhuy/pretrain-xloop-d2048-n4-50b-wsd-s4,pretrain-xloop-d2048-n4-50b-wsd-s4,Dũng Nguyễn Huy,2026-05-15 05:53:30.343000,0,notebook,voteCount,4
chongnh/pretrain-pcc-reason-d2048-50b-wsd-s4,pretrain-pcc-reason-d2048-50b-wsd-s4,Đức Hoàng Đình,2026-05-15 05:53:26.030000,0,notebook,voteCount,4
dfbjdsbds/pretrain-vanilla-d2048-50b-wsd-s4,pretrain-vanilla-d2048-50b-wsd-s4,Space_cowboy,2026-05-15 05:53:21.463000,0,notebook,voteCount,4
dnglethnh/pretrain-vanilla-l16-1b-50b-wsd-s1,pretrain-vanilla-l16-1b-50b-wsd-s1,Dũng Lê Thành,2026-05-15 01:40:48.970000,0,notebook,voteCount,4
backuppesol/prep-vectors-aya,prep_vectors_aya,Backup Pesol,2026-05-15 10:15:50.433000,0,notebook,voteCount,4
tbmdemi/pretrain-pretrain-xloop-d2048-n4-50b-wsd-s3,pretrain-pretrain-xloop-d2048-n4-50b-wsd-s3,Trịnh Bình Minh,2026-05-14 17:39:42.330000,0,notebook,voteCount,4
dungnguyenhuy/pretrain-pretrain-pcc-reason-d2048-50b-wsd-s3,pretrain-pretrain-pcc-reason-d2048-50b-wsd-s3,Dũng Nguyễn Huy,2026-05-14 17:39:36.403000,0,notebook,voteCount,4
hiulnho/pretrain-pretrain-vanilla-d2048-50b-wsd-s3,pretrain-pretrain-vanilla-d2048-50b-wsd-s3,Hiếu Lê Nho,2026-05-14 17:39:32.300000,0,notebook,voteCount,4
skripsipesolmokelar/fork-of-oracle-full-run-desire-create-allies-norm,Fork of oracle_full_run_desire_create_allies_norm,skripsi pesol mo kelar,2026-05-14 15:12:23.270000,0,notebook,voteCount,4
syu21125/nemotron-v39-huikang-reasoning-sft-submit,Nemotron v39 huikang reasoning sft submit,SYU21125,2026-05-14 13:08:14.740000,0,notebook,voteCount,4
markjcooper/thk-v27-fork-2026-05-14,THK V27 fork 2026-05-14,Mark Cooper,2026-05-14 12:31:09.367000,0,notebook,voteCount,4
privatepiecerec/submission-qc-5-layer-framework,Submission QC: 5-Layer Framework,PrivatePieceRec,2026-05-14 12:12:30.927000,0,notebook,voteCount,4
nguyenduongtrong/pretrain-vanilla-l16-1b-bench-mb10,pretrain-vanilla-l16-1b-bench-mb10,Nguyen Duong Trong,2026-05-14 07:48:53.367000,0,notebook,voteCount,4
nguyenduongtrong/pretrain-vanilla-l16-1b-bench,pretrain-vanilla-l16-1b-bench,Nguyen Duong Trong,2026-05-14 07:36:13.483000,0,notebook,voteCount,4
tuantc2306/pretrain-xloop-d2048-n4-50b-wsd-s2,pretrain-xloop-d2048-n4-50b-wsd-s2,TuanTc2306,2026-05-14 05:52:53.097000,0,notebook,voteCount,4
tuananhtran37/pretrain-pcc-reason-d2048-50b-wsd-s2,pretrain-pcc-reason-d2048-50b-wsd-s2,Tuan Anh Tran 37,2026-05-14 05:47:06.153000,0,notebook,voteCount,4
khunht/pretrain-vanilla-d2048-50b-wsd-s2,pretrain-vanilla-d2048-50b-wsd-s2,Khuê Nhật,2026-05-14 05:46:34.273000,0,notebook,voteCount,4
dnglethnh/pretrain-xloop-d2048-n4-50b-wsd-s1,pretrain-xloop-d2048-n4-50b-wsd-s1,Dũng Lê Thành,2026-05-13 18:04:46.630000,0,notebook,voteCount,4
tuetrandoanminh/pretrain-pcc-reason-d2048-50b-wsd-s1,pretrain-pcc-reason-d2048-50b-wsd-s1,Tue Tran Doan Minh,2026-05-13 18:04:42.323000,0,notebook,voteCount,4
nguyenduongtrong/pretrain-vanilla-d2048-50b-wsd-s1,pretrain-vanilla-d2048-50b-wsd-s1,Nguyen Duong Trong,2026-05-13 18:04:39.530000,0,notebook,voteCount,5
nguyenduongtrong/fp8-bench-v5,fp8-bench-v5,Nguyen Duong Trong,2026-05-13 17:54:55.287000,0,notebook,voteCount,5
nguyenduongtrong/fp8-bench-v4,fp8-bench-v4,Nguyen Duong Trong,2026-05-13 17:52:24.363000,0,notebook,voteCount,5
nguyenduongtrong/fp8-bench-v2,fp8-bench-v2,Nguyen Duong Trong,2026-05-13 17:42:04.423000,0,notebook,voteCount,5
nguyenduongtrong/fp8-bench-vanilla,fp8-bench-vanilla,Nguyen Duong Trong,2026-05-13 17:40:00.133000,0,notebook,voteCount,5
nguyenduongtrong/fp8-check-stock,fp8-check-stock,Nguyen Duong Trong,2026-05-13 17:38:26.947000,0,notebook,voteCount,5
ayomide2000/finding-nemo,finding nemo,Ayomide2000,2026-05-16 13:58:04.510000,0,notebook,voteCount,5
tuananhtran37/pretrain-bench-vanilla,pretrain-bench-vanilla,Tuan Anh Tran 37,2026-05-13 05:36:42.907000,0,notebook,voteCount,5
xiaoxizhang2025/try1-fuben,try1-fuben,Xiaoxi Zhang,2026-05-16 01:39:44.380000,0,notebook,voteCount,5
dfbjdsbds/stage2-hybrid-listops-3k,stage2-hybrid-listops-3k,Space_cowboy,2026-05-12 23:21:02.047000,0,notebook,voteCount,5
dfbjdsbds/stage2-extrap-vanilla-s3-v24-1024,stage2-extrap-vanilla-s3-V24-1024,Space_cowboy,2026-05-12 20:32:46.093000,0,notebook,voteCount,5
phmthanhlm24022379/stage2-hybrid-v24-n16,stage2-hybrid-V24-n16, Phạm Thanh Lâm 24022379,2026-05-12 20:32:35.133000,0,notebook,voteCount,5
nidhish1010/nvidia-nemotron-submission-demo-c37b25,NVIDIA Nemotron Submission Demo c37b25,nidhish1010,2026-05-13 18:58:08.697000,0,notebook,voteCount,5
leehoangquan006/stage2-battery-vanilla-s3,stage2-battery-vanilla-s3,Lê Hoàng Quân,2026-05-12 17:24:54.250000,0,notebook,voteCount,5
phmthanhlm24022379/stage2-battery-pcc-loose-seed1,stage2-battery-pcc-loose-seed1, Phạm Thanh Lâm 24022379,2026-05-12 17:24:53.860000,0,notebook,voteCount,5
phmthanhlm24022379/stage2-battery-vanilla-iter-s1-v2,stage2-battery-vanilla-iter-s1-v2, Phạm Thanh Lâm 24022379,2026-05-12 16:32:57.083000,0,notebook,voteCount,5
tuananhtran37/stage2-battery-hybrid-d1280-v2,stage2-battery-hybrid-d1280-v2,Tuan Anh Tran 37,2026-05-12 16:32:57.727000,0,notebook,voteCount,5
hiulnho/stage2-battery-pcc-tight-v2,stage2-battery-pcc-tight-v2,Hiếu Lê Nho,2026-05-12 16:32:56.460000,0,notebook,voteCount,5
leehoangquan006/stage2-battery-vanilla-iter-s2-v2,stage2-battery-vanilla-iter-s2-v2,Lê Hoàng Quân,2026-05-12 16:32:55.943000,0,notebook,voteCount,5
anng1112/stage2-debug-codeset-v3,stage2-debug-codeset-v3,Nguyen An,2026-05-12 16:32:31.833000,0,notebook,voteCount,5
bloodmoonwq/nemotron-sft-lora-with-cot,Nemotron SFT LoRA with CoT,CuteClaw,2026-05-12 16:29:33.293000,0,notebook,voteCount,5
tuetrandoanminh/eval-pcc-d2048-reason-tight,eval-pcc-d2048-reason-tight,Tue Tran Doan Minh,2026-05-12 16:08:55.087000,0,notebook,voteCount,5
truongdinhduc06/pretrain-sanity-gpumon,pretrain-sanity-gpumon,Trương Đình Đức,2026-05-12 15:47:58.147000,0,notebook,voteCount,5
xduan7/nemotron-bit-verifier-append-memcheck,Nemotron Bit Verifier Append Memcheck,Xiaotian Duan,2026-05-12 15:29:59.750000,0,notebook,voteCount,5
xduan7/nemotron-bit-verifier-replace-memcheck,Nemotron Bit Verifier Replace Memcheck,Xiaotian Duan,2026-05-12 15:29:56.603000,0,notebook,voteCount,5
tanluu/stage2-pcc-v12-k16-v2,stage2-pcc-V12-k16-v2,tan luu,2026-05-12 14:45:42.450000,0,notebook,voteCount,5
tanluu/stage2-pcc-listops,stage2-pcc-listops,tan luu,2026-05-12 14:33:00.663000,0,notebook,voteCount,5
tanluu/stage2-pcc-v24-k8,stage2-pcc-V24-k8,tan luu,2026-05-12 14:29:11.270000,0,notebook,voteCount,5
tanluu/stage2-pcc-modular,stage2-pcc-modular,tan luu,2026-05-12 14:29:10.713000,0,notebook,voteCount,5
krishnagupta02468/tinker-submission-notebook,Tinker submission notebook,KrishnaGupta02468,2026-05-15 13:45:51.003000,0,notebook,voteCount,5
tanluu/stage2-vanilla-listops-v3,stage2-vanilla-listops-v3,tan luu,2026-05-12 13:57:02.030000,0,notebook,voteCount,5
nguyenduongtrong/stage2-vanilla-modular-v2,stage2-vanilla-modular-v2,Nguyen Duong Trong,2026-05-12 13:52:14.363000,0,notebook,voteCount,5
truongdinhduc06/stage2-vanilla-v12-k8-deep,stage2-vanilla-V12-k8-deep,Trương Đình Đức,2026-05-12 13:25:18.320000,0,notebook,voteCount,5
dfbjdsbds/stage2-vanilla-v24-k8,stage2-vanilla-V24-k8,Space_cowboy,2026-05-12 13:25:17.650000,0,notebook,voteCount,5
tuananhtran37/stage2-vanilla-v12-k16,stage2-vanilla-V12-k16,Tuan Anh Tran 37,2026-05-12 13:25:16.657000,0,notebook,voteCount,5
xduan7/nemotron-bit-verifier-append-eval,Nemotron Bit Verifier Append Eval,Xiaotian Duan,2026-05-12 13:23:14.830000,0,notebook,voteCount,5
xduan7/nemotron-bit-verifier-replace-eval,Nemotron Bit Verifier Replace Eval,Xiaotian Duan,2026-05-12 13:23:11.713000,0,notebook,voteCount,5
dfbjdsbds/stage2-vanilla-mp-v2,stage2-vanilla-mp-v2,Space_cowboy,2026-05-12 12:30:12.603000,0,notebook,voteCount,5
tanluu/stage2-pcc-mp-v2,stage2-pcc-mp-v2,tan luu,2026-05-12 12:30:12.070000,0,notebook,voteCount,5
mtoshidesu/testnvidia-comp,testNVIDIA_COMP,m-toshi desu,2026-05-12 12:22:29.727000,0,notebook,voteCount,5
dfbjdsbds/stage2-vanilla-d2048-s4,stage2-vanilla-d2048-s4,Space_cowboy,2026-05-12 11:27:14.247000,0,notebook,voteCount,5
tanluu/stage2-pcc-d2048-reason,stage2-pcc-d2048-reason,tan luu,2026-05-12 11:27:11.293000,0,notebook,voteCount,5
nguyenduongtrong/pretrain-sanity-bigbatch16-vanilla,pretrain-sanity-bigbatch16-vanilla,Nguyen Duong Trong,2026-05-12 10:55:07.157000,0,notebook,voteCount,5
nguyenduongtrong/pretrain-sanity-bigbatch16-watch,pretrain-sanity-bigbatch16-watch,Nguyen Duong Trong,2026-05-12 10:40:59.697000,0,notebook,voteCount,5
truongdinhduc06/pretrain-sanity-bigbatch16,pretrain-sanity-bigbatch16,Trương Đình Đức,2026-05-12 10:37:47.460000,0,notebook,voteCount,5
nguyenduongtrong/pretrain-sanity-compile-watch,pretrain-sanity-compile-watch,Nguyen Duong Trong,2026-05-12 09:46:05.870000,0,notebook,voteCount,5
truongdinhduc06/pretrain-sanity-compile-v2,pretrain-sanity-compile-v2,Trương Đình Đức,2026-05-12 08:16:42.813000,0,notebook,voteCount,5
nguyenduongtrong/pretrain-sanity-baseline,pretrain-sanity-baseline,Nguyen Duong Trong,2026-05-12 08:16:00.710000,0,notebook,voteCount,5
truongdinhduc06/pretrain-sanity-baseline-pcc,pretrain-sanity-baseline-pcc,Trương Đình Đức,2026-05-12 07:47:57.173000,0,notebook,voteCount,5
tuananhtran37/pretrain-sanity-compile-pcc,pretrain-sanity-compile-pcc,Tuan Anh Tran 37,2026-05-12 07:50:20.577000,0,notebook,voteCount,5
tanluu/probe-pcc-reason,probe-pcc-reason,tan luu,2026-05-12 06:00:59.927000,0,notebook,voteCount,5
truongdinhduc06/probe-vanilla-s4,probe-vanilla-s4,Trương Đình Đức,2026-05-12 06:00:58.810000,0,notebook,voteCount,5
devpateltech/notebookd7186e4fc9,notebookd7186e4fc9,Dev Patel,2026-05-12 06:00:08.283000,0,notebook,voteCount,5
dfbjdsbds/pretrain-vanilla-d2048-3b-baseline,pretrain-vanilla-d2048-3b-baseline,Space_cowboy,2026-05-12 05:38:48.257000,0,notebook,voteCount,5
nguyenduongtrong/pretrain-vanilla-d2048-3b-synth,pretrain-vanilla-d2048-3b-synth,Nguyen Duong Trong,2026-05-12 05:38:10.917000,0,notebook,voteCount,5
truongdinhduc06/steered-pcc-d2048-seed1-loose-chain,steered-pcc-d2048-seed1-loose-chain,Trương Đình Đức,2026-05-12 05:36:57.407000,0,notebook,voteCount,5
truongdinhduc06/lle-v2-pcc-d2048-seed1-loose,lle-v2-pcc-d2048-seed1-loose,Trương Đình Đức,2026-05-12 05:36:54.323000,0,notebook,voteCount,5
tanluu/steered-pcc-d2048-reason-chain,steered-pcc-d2048-reason-chain,tan luu,2026-05-12 04:51:22.977000,0,notebook,voteCount,5
truongdinhduc06/steered-vanilla-d2048-s4-chain,steered-vanilla-d2048-s4-chain,Trương Đình Đức,2026-05-12 04:51:20.467000,0,notebook,voteCount,5
hiulnho/pretrain-pcc-d2048-reason-synth,pretrain-pcc-d2048-reason-synth,Hiếu Lê Nho,2026-05-12 04:34:26.947000,0,notebook,voteCount,5
kanakasarat1/lora-adapter-fusion-and-rank-compression-pipeline,LoRA Adapter Fusion and Rank Compression Pipeline ,Kanaka Sarat Siripurapu,2026-05-12 04:33:43.717000,0,notebook,voteCount,5
tuananhtran37/lle-v2-vanilla-d2048-s3,lle-v2-vanilla-d2048-s3,Tuan Anh Tran 37,2026-05-12 04:27:06.083000,0,notebook,voteCount,5
dfbjdsbds/lle-v2-vanilla-d2048-s2,lle-v2-vanilla-d2048-s2,Space_cowboy,2026-05-12 04:27:04.980000,0,notebook,voteCount,5
truongdinhduc06/lle-v2-vanilla-d2048-s1,lle-v2-vanilla-d2048-s1,Trương Đình Đức,2026-05-12 04:27:05.080000,0,notebook,voteCount,5
tanluu/lle-v2-pcc-d2048-reason,lle-v2-pcc-d2048-reason,tan luu,2026-05-12 04:27:04.673000,0,notebook,voteCount,5
tamgujoa/adapter-validation-notebook,Adapter validation notebook,tamgujoa,2026-05-15 12:38:46.947000,0,notebook,voteCount,5
tanluu/lle-pcc-d2048-reason-tanluu,lle-pcc-d2048-reason-tanluu,tan luu,2026-05-12 04:05:23.740000,0,notebook,voteCount,5
venkatasivasai0/notebookddb5a45181,notebookddb5a45181,Venkata Siva Sai Krishna,2026-05-13 04:12:16.140000,0,notebook,voteCount,5
tuetrandoanminh/pretrain-pcc-d2048-reason-tight,pretrain-pcc-d2048-reason-tight,Tue Tran Doan Minh,2026-05-12 02:36:00.940000,0,notebook,voteCount,5
tuetrandoanminh/lle-hybrid-d1280-l8,lle-hybrid-d1280-l8,Tue Tran Doan Minh,2026-05-12 02:28:25.723000,0,notebook,voteCount,5
tuananhtran37/lle-vanilla-iter-d2048-s2,lle-vanilla-iter-d2048-s2,Tuan Anh Tran 37,2026-05-12 02:26:37.023000,0,notebook,voteCount,5
dfbjdsbds/lle-vanilla-iter-d2048-s1,lle-vanilla-iter-d2048-s1,Space_cowboy,2026-05-12 02:26:36.043000,0,notebook,voteCount,5
truongdinhduc06/lle-xloop-d1280-s2,lle-xloop-d1280-s2,Trương Đình Đức,2026-05-12 02:26:33.337000,0,notebook,voteCount,5
tuananhtran37/lle-pcc-iter-d1280-s1,lle-pcc-iter-d1280-s1,Tuan Anh Tran 37,2026-05-12 02:19:26.080000,0,notebook,voteCount,5
dfbjdsbds/lle-vanilla-d2048-s3,lle-vanilla-d2048-s3,Space_cowboy,2026-05-12 02:19:23.707000,0,notebook,voteCount,5
truongdinhduc06/lle-vanilla-d2048-s2,lle-vanilla-d2048-s2,Trương Đình Đức,2026-05-12 02:19:22.120000,0,notebook,voteCount,5
tuananhtran37/lle-vanilla-d2048-seed1,lle-vanilla-d2048-seed1,Tuan Anh Tran 37,2026-05-12 01:54:16.643000,0,notebook,voteCount,5
dfbjdsbds/lle-vanilla-d2048-s4,lle-vanilla-d2048-s4,Space_cowboy,2026-05-12 01:54:15.707000,0,notebook,voteCount,5
truongdinhduc06/lle-vanilla-d2048-s1,lle-vanilla-d2048-s1,Trương Đình Đức,2026-05-12 01:58:14.087000,0,notebook,voteCount,5
anng1112/eval-vanilla-s4-chained-x,eval-vanilla-s4-chained-x,Nguyen An,2026-05-12 01:38:28.977000,0,notebook,voteCount,5
tuetrandoanminh/eval-vanilla-d2048-seed1,eval-vanilla-d2048-seed1,Tue Tran Doan Minh,2026-05-12 01:38:13.490000,0,notebook,voteCount,5
viswasurya/nvidia-nemotron-training,Nvidia-Nemotron Training,viswa surya,2026-05-12 16:27:21.087000,0,notebook,voteCount,5
parthgala07/nvidia-nemotron-submission-training-1,NVIDIA Nemotron Submission Training 1,Parth Gala,2026-05-12 06:17:54.423000,0,notebook,voteCount,5
kanakasarat1/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,Kanaka Sarat Siripurapu,2026-05-12 03:03:03.397000,0,notebook,voteCount,5
kenilv/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,Kenil Himmatbhai Vaghasiya,2026-05-12 15:19:11.143000,0,notebook,voteCount,5
toney02/nemotron-sft-lora-with-cot,Nemotron SFT LoRA with CoT,Toney02,2026-05-11 23:35:26.130000,0,notebook,voteCount,5
anng1112/pretrain-pcc-d2048-reason-seed1,pretrain-pcc-d2048-reason-seed1,Nguyen An,2026-05-11 17:29:08.913000,0,notebook,voteCount,5
skripsipesolmokelar/ln-global-runner-llama-norm,ln-global-runner-llama-norm,skripsi pesol mo kelar,2026-05-12 12:45:14.497000,0,notebook,voteCount,5
tamgujoa/training-with-unsloth,Training with Unsloth,tamgujoa,2026-05-15 07:43:41.530000,0,notebook,voteCount,5
hduong/pretrain-vanilla-d2048-15b-s4,pretrain-vanilla-d2048-15b-s4,Hoang Duong,2026-05-11 12:36:35.293000,0,notebook,voteCount,5
hduong/probe-vanilla-s3-6-5b,probe-vanilla-s3-6_5b,Hoang Duong,2026-05-11 11:55:07.517000,0,notebook,voteCount,5
tanluu/probe-pcc-d2048-reason,probe-pcc-d2048-reason,tan luu,2026-05-11 11:55:07.317000,0,notebook,voteCount,5
leehoangquan006/probe-pcc-iter-d1280-2b,probe-pcc-iter-d1280-2b,Lê Hoàng Quân,2026-05-11 11:55:07.023000,0,notebook,voteCount,5
khoidang67/eval-vanilla-iter-s2-x,eval-vanilla-iter-s2-x,Khôi Đăng,2026-05-11 11:21:57.887000,0,notebook,voteCount,5
tuetrandoanminh/pretrain-vanilla-d2048-15b-seed1,pretrain-vanilla-d2048-15b-seed1,Tue Tran Doan Minh,2026-05-11 11:16:20.713000,0,notebook,voteCount,5
hduong/eval-vanilla-d2048-s3-final,eval-vanilla-d2048-s3-final,Hoang Duong,2026-05-11 11:00:07.957000,0,notebook,voteCount,5
tanluu/eval-pcc-d2048-reason,eval-pcc-d2048-reason,tan luu,2026-05-11 10:53:05.443000,0,notebook,voteCount,5
leehoangquan006/eval-hr-d1280-reason,eval-hr-d1280-reason,Lê Hoàng Quân,2026-05-11 10:53:05.380000,0,notebook,voteCount,5
phmthanhlm24022379/eval-pcc-matched-1b,eval-pcc-matched-1b, Phạm Thanh Lâm 24022379,2026-05-11 10:53:04.547000,0,notebook,voteCount,5
phmthanhlm24022379/eval-hybrid-d1280-l8,eval-hybrid-d1280-l8, Phạm Thanh Lâm 24022379,2026-05-11 10:53:05.647000,0,notebook,voteCount,5
minhhoiphan/data-mine-nemotron-data,Data_mine_Nemotron data,Minh Hoài Phan,2026-05-11 13:57:06.950000,0,notebook,voteCount,6
skripsipesolmokelar/prep-vectors-llama,prep_vectors_llama,skripsi pesol mo kelar,2026-05-11 15:30:22.460000,0,notebook,voteCount,6
leehoangquan006/eval-pcc-iter-d1280-2b,eval-pcc-iter-d1280-2b,Lê Hoàng Quân,2026-05-11 01:06:29.743000,0,notebook,voteCount,6
namphmbuwu/eval-vanilla-iter-d2048-s1,eval-vanilla-iter-d2048-s1,Nam Phạm Bá UWU,2026-05-11 00:48:57.823000,0,notebook,voteCount,6
adv1102/notebookcc9dc9084a,notebookcc9dc9084a,adv_1102,2026-05-11 04:29:22.037000,0,notebook,voteCount,6
xduan7/nemotron-concat-only-diagnostic-memcheck,Nemotron Concat-Only Diagnostic Memcheck,Xiaotian Duan,2026-05-10 22:45:28.477000,0,notebook,voteCount,6
xduan7/nemotron-concat-only-diagnostic-eval,Nemotron Concat-Only Diagnostic Eval,Xiaotian Duan,2026-05-10 22:45:26.110000,0,notebook,voteCount,6
ksk872/nvidia-initial,NVIDIA - initial,Sumanth Kumar,2026-05-11 19:24:11.527000,0,notebook,voteCount,6
yinkaog/run28-051026,run28_051026,YinkaOG,2026-05-10 20:25:57.783000,0,notebook,voteCount,6
chaitanyajamble/nvidia-nmrc-4,Nvidia-NMRC--4,Chaitanya Jamble,2026-05-10 17:53:22.630000,0,notebook,voteCount,6
leehoangquan006/pretrain-pcc-iter-d1280-2b-s1,pretrain-pcc-iter-d1280-2b-s1,Lê Hoàng Quân,2026-05-10 17:27:48.280000,0,notebook,voteCount,6
namphmbuwu/pretrain-vanilla-iter-d2048-15b-s2,pretrain-vanilla-iter-d2048-15b-s2,Nam Phạm Bá UWU,2026-05-10 16:57:58.433000,0,notebook,voteCount,6
truongdinhduc06/eval-xloop-d1280-s2,eval-xloop-d1280-s2,Trương Đình Đức,2026-05-10 16:05:09.457000,0,notebook,voteCount,6
hduong/eval-vanilla-d2048-s3,eval-vanilla-d2048-s3,Hoang Duong,2026-05-10 16:05:08.317000,0,notebook,voteCount,6
nicholas33/nb153-nvidia-nemotron-inference,NB153 || NVIDIA NEMOTRON INFERENCE,NikolAiD153,2026-05-14 18:01:03.750000,0,notebook,voteCount,6
anng1112/probe-r12-pcc-qkv-bias-v2,probe-r12-pcc-qkv-bias-v2,Nguyen An,2026-05-10 11:07:02.567000,0,notebook,voteCount,6
anng1112/repr-r12-pcc-qkv-bias,repr-r12-pcc-qkv-bias,Nguyen An,2026-05-10 11:01:48.817000,0,notebook,voteCount,6
tuananhtran37/probe-pcchr-d1280-l6,probe-pcchr-d1280-l6,Tuan Anh Tran 37,2026-05-10 10:49:22.587000,0,notebook,voteCount,6
tuetrandoanminh/probe-probe-xloop-d1280,probe-probe-xloop-d1280,Tue Tran Doan Minh,2026-05-10 10:37:43.913000,0,notebook,voteCount,6
zhongzhing/probe-probe-vanilla-d2048-4b,probe-probe-vanilla-d2048-4b,Zhong Zhing ,2026-05-10 10:37:44.550000,0,notebook,voteCount,6
truongdinhduc06/probe-probe-pcc-d2048,probe-probe-pcc-d2048,Trương Đình Đức,2026-05-10 10:37:43.530000,0,notebook,voteCount,6
anng1112/pretrain-r12-pcc-qkv-bias-d1024,pretrain-r12-pcc-qkv-bias-d1024,Nguyen An,2026-05-10 10:29:14.437000,0,notebook,voteCount,6
tuetrandoanminh/repr-flow-xloop-d1280-v2,repr-flow-xloop-d1280-v2,Tue Tran Doan Minh,2026-05-10 10:00:04.857000,0,notebook,voteCount,6
